img_fName,img_w,img_h,bbx_xtl,bbx_ytl,bbx_xbr,bbx_ybr,class_label
albopictus/486.jpg,524,524,0,0,524,524,albopictus
albopictus/370.jpg,666,666,0,0,666,666,albopictus
albopictus/577.jpg,270,270,0,0,270,270,albopictus
albopictus/347.jpg,218,218,0,0,218,218,albopictus
albopictus/383.jpg,626,626,0,0,626,626,albopictus
albopictus/396.jpg,144,144,0,0,144,144,albopictus
albopictus/555.jpg,270,270,0,0,270,270,albopictus
albopictus/562.jpg,236,236,0,0,236,236,albopictus
albopictus/239.jpg,612,612,0,0,612,612,albopictus
albopictus/378.jpg,622,622,0,0,622,622,albopictus
albopictus/519.jpg,244,244,0,0,244,244,albopictus
albopictus/365.jpg,516,516,0,0,516,516,albopictus
albopictus/438.jpg,118,118,0,0,118,118,albopictus
albopictus/506.jpg,318,318,0,0,318,318,albopictus
albopictus/411.jpg,72,72,0,0,72,72,albopictus
albopictus/439.jpg,108,108,0,0,108,108,albopictus
albopictus/479.jpg,60,60,0,0,60,60,albopictus
albopictus/247.jpg,434,434,0,0,434,434,albopictus
albopictus/298.jpg,380,380,0,0,380,380,albopictus
albopictus/276.jpg,296,296,0,0,296,296,albopictus
albopictus/7.jpg,256,256,0,0,256,256,albopictus
albopictus/289.jpg,156,156,0,0,156,156,albopictus
albopictus/467.jpg,132,132,0,0,132,132,albopictus
albopictus/456.jpg,88,88,0,0,88,88,albopictus
albopictus/256.jpg,118,118,0,0,118,118,albopictus
albopictus/428.jpg,94,94,0,0,94,94,albopictus
albopictus/472.jpg,122,122,0,0,122,122,albopictus
albopictus/550.jpg,276,276,0,0,276,276,albopictus
albopictus/451.jpg,128,128,0,0,128,128,albopictus
albopictus/282.jpg,268,268,0,0,268,268,albopictus
albopictus/420.jpg,64,64,0,0,64,64,albopictus
albopictus/319.jpg,336,336,0,0,336,336,albopictus
albopictus/417.jpg,94,94,0,0,94,94,albopictus
albopictus/440.jpg,92,92,0,0,92,92,albopictus
