img_fName,img_w,img_h,bbx_xtl,bbx_ytl,bbx_xbr,bbx_ybr,class_label
albopictus/60425132-c52a-4b9d-8d42-d3117252f0f1.jpeg,378,378,0,0,378,378,albopictus
albopictus/1a8e5185-ac09-4c4d-b319-17de8b8ca5b8.jpeg,336,336,0,0,336,336,albopictus
albopictus/00a76338-2282-4353-953c-f6ad7adb3d9b.jpeg,300,300,0,0,300,300,albopictus
albopictus/6d2eaac7-7d0b-4a3b-ae7e-e6bdcfecde9d.jpg,520,520,0,0,520,520,albopictus
albopictus/cff68b58-4173-4f44-9516-d3d74a02ac70.jpeg,424,424,0,0,424,424,albopictus
albopictus/e1bfb433-aa4b-40e9-bbc3-f5ebd5b38063.jpg,220,220,0,0,220,220,albopictus
albopictus/37d16f6a-d7af-4e86-b34a-1dcc91c43a25.jpeg,490,490,0,0,490,490,albopictus
albopictus/c382e373-24ce-4cef-81b4-258e9e0b6481.jpg,466,466,0,0,466,466,albopictus
albopictus/ef574306-8679-4923-a633-89a66ac83076.jpeg,386,386,0,0,386,386,albopictus
albopictus/a3fa7d03-5798-4fc8-9d37-93a47776489f.jpg,74,74,0,0,74,74,albopictus
albopictus/0e11fbd9-9bdd-4dfc-93cf-8f13b493e74b.jpeg,202,202,0,0,202,202,albopictus
albopictus/0d381b44-ad48-4645-b518-e0de175df10a.jpeg,94,94,0,0,94,94,albopictus
albopictus/cd36e508-01b3-4de6-8ebc-9c696ebcfe55.jpg,508,508,0,0,508,508,albopictus
albopictus/4a22072b-1896-40d6-bd68-1a9e4deda849.jpg,394,394,0,0,394,394,albopictus
albopictus/873c065d-9ff0-460c-8160-4ca57ccdb7eb.jpeg,196,196,0,0,196,196,albopictus
albopictus/f3647073-7e6b-401b-b0cd-27abbe2b950d.jpg,490,490,0,0,490,490,albopictus
albopictus/b58493c0-7bd7-4e24-a98f-fa363c0747ac.jpeg,424,424,0,0,424,424,albopictus
albopictus/3c150248-5495-4618-bf1e-9c0ed5f9c387.jpeg,388,388,0,0,388,388,albopictus
albopictus/5136212e-e917-4b23-9be3-0685113d9a91.jpeg,56,56,0,0,56,56,albopictus
albopictus/3def1b23-7830-42ae-8195-fc12fdc4bd7c.jpeg,430,430,0,0,430,430,albopictus
albopictus/926110d5-70c1-4921-a179-7df688886710.jpeg,286,286,0,0,286,286,albopictus
albopictus/f965945f-b31f-49e9-9512-03788e841462.jpeg,54,54,0,0,54,54,albopictus
albopictus/36c42fc6-59aa-487b-9c1c-2153aa33d11e.jpg,104,104,0,0,104,104,albopictus
albopictus/55bcdd9a-2114-4d1f-87c6-6da8ab0b1138.jpeg,410,410,0,0,410,410,albopictus
albopictus/ce7b71a3-ada2-4dfb-b7cd-f7efa26124d7.jpeg,226,226,0,0,226,226,albopictus
albopictus/28adadb5-33dd-4fee-9718-a0cbdaa733e9.jpg,342,342,0,0,342,342,albopictus
albopictus/706d505e-0d30-465e-bee8-9c92ce2b855c.jpeg,502,502,0,0,502,502,albopictus
albopictus/ae4a2f3f-52f4-4efb-a7c3-ee2b598eab89.jpg,268,268,0,0,268,268,albopictus
albopictus/b7d7ae24-fed1-4a15-bd72-ec510c391e73.jpg,202,202,0,0,202,202,albopictus
albopictus/0d01979f-5b9c-47d1-99f2-cc5a86f417a9.jpg,524,524,0,0,524,524,albopictus
albopictus/8f726573-24fe-4ced-b6f3-1e9284b31084.jpeg,46,46,0,0,46,46,albopictus
albopictus/d8af31b7-a81b-42d4-8056-4d3f287c1094.jpeg,52,52,0,0,52,52,albopictus
albopictus/df9797b0-9a9e-4a85-8bd2-5551458881c1.jpeg,186,186,0,0,186,186,albopictus
